Names	total	elements
		CG17807
		Ama
		CG13539
		fz4
		CG10481
		CSN1a
		scf
		Cpr
		Ppi1
		Top3beta
		CG31693
		Sox14
		CG9406
		CG1958
		CG34195
		CG4610
		JhI-1
		mre11
		Np
		CG14814
		CG11980
		Spn42Dc
		Nap1
		CG33673
		CG14635
		bdl
		CG5863
		CG34287
		cpx
		CG4627
		bora
		CG11634
		RpS2
		CG1542
		CG15357
		CG3756
		CG10345
		OS9
		CycJ
		CG12674
		CG1789
		CG5440
		CHKov2
		CG6927
		CG15756
		ImpE3
		Vti1a
		CG9875
		CG14005
		CG14540
		Dic61B
		CG4563
		CG9609
		CG10834
		CG42658
		mRpL16
		St4
		CG43107
		CG13871
		CG10931
		CG12464
		CG31815
		Optix
		CG32388
		Cpr65Au
		CG14749
		CG12620
		Syt1
		CG3793
		CG8958
		spn-D
		CG15617
		CG10880
		CG11929
		CG42675
		CG15528
		CG14505
		CG34210
		CG31752
		tam
		Ku80
		CG3330
		CG33969
		TfIIA-S-2
		CG3679
		CG5024
		CG32987
		CG14301
		CG12535
		CG2794
		CG15093
		DMAP1
		CG7277
		CG11379
		corolla
		CG17580
		Zyx
		Ser8
		ND-30
		daw
		rst
		CG14332
		CG31907
		CG31787
		dup
		CG15278
		CG3264
		CG42249
		CG11269
		Sherpa
		beat-Ic
		nab
		CG14931
		pk
		CG14102
		Crtp
		CG10283
		Drep1
		CG3557
		Roe1
		arr
		PGRP-SD
		Indy-2
		Ddc
		Mst89B
		NtR
		ken
		CG13110
		CG18666
		CG2129
		pgant2
		CG43861
		Traf4
		CG9129
		CG5217
		CG15404
		Pof
		lbl
		CG10463
		ND-20L
		gcl
		CG12448
		CG8635
		laf
		CG33125
		CG7755
		Suv3
		CG31267
		EndoB
		CG6329
		Lcp4
		CG15820
		CG16782
		CG18869
		CG14893
		Dscam1
		CG7691
		CG17829
		CG13786
		CG5339
		Oseg6
		nclb
		CG15395
		CG11920
		CG7653
		Amy-d
		Nsun5
		SPARC
		CG42342
		Rrp4
		CG13541
		Cdk7
		brv1
		chp
		CG3494
		CG14667
		CG43400
		CG5569
		CG15735
		CG14013
		CG12496
		CG11539
		Cctgamma
		Rab11
		ND-49L
		Cct1
		CG4286
		CG5880
		CG31924
		CG1234
		Sgf11
		CG14546
		CG1239
		ms(3)76Cc
		Wwox
		rgr
		HLH54F
		DNApol-alpha60
		CG42355
		CG34170
		CG14537
		cindr
		CG34029
		CG1092
		CG31910
		Nep2
		CG2574
		beta4GalNAcTA
		CG15128
		CG11050
		Sam-S
		GstE14
		Ca-alpha1T
		DNApol-alpha180
		CG13185
		png
		gwl
		Cyp305a1
		Tengl1
		CG15657
		ms(2)34Fe
		rad50
		Rpn5
		CG15269
		CG13097
		RyR
		okr
		Prosbeta4R2
		LamC
		Pu
		Tsp47F
		CG1461
		CG8584
		Fib
		l(2)k10201
		Rif1
		Nup50
		CG14757
		CG9003
		Hat1
		fz3
		CG31231
		Eaat1
		CG3812
		Ripalpha
		Mnn1
		trol
		CG5613
		Gad1
		CG14605
		CG17562
		CG15529
		MAN1
		gd
		Egfr
		CG4892
		salr
		CG8311
		CG6967
		spo
		CG18004
		CG14100
		Ets65A
		CG12998
		CG14658
		Diap2
		CG5539
		wds
		CG11164
		Chd3
		CG17264
		TwdlD
		Ubc84D
		SmydA-3
		CG7309
		CG1657
		Mmp1
		GluRIIB
		clos
		Hr3
		xmas-1
		CG42369
		CG1814
		CG11349
		CG8736
		CG17646
		ex
		CG15256
		CG15227
		CG33144
		CG12078
		Myc
		CG32277
		mus201
		CG4404
		CG15666
		CG13690
		danr
		CG1575
		Art2
		CG1340
		FASN1
		CG12111
		dgrn
		CG34220
		H15
		CG14246
		CG13442
		tej
		CG15262
		CG43288
		CG12769
		CG1208
		GAA1
		bor
		CG12851
		CG31702
		CG3309
		ham
		Cirl
		slbo
		SmydA-9
		bys
		CG17349
		CG2291
		CG18675
		CG32319
		CG34172
		Dcp-1
		mew
		sigmar
		rdgB
		EDTP
		CG1138
		CG13405
		CG4661
		Ns1
		CG31496
		cup
		CG5621
		CG9733
		ckd
		Sfp53D
		CG10165
		CG3045
		lectin-24Db
		Rpn1
		stil
		swa
		CG10202
		CG12744
		CG10317
		AQP
		CG8026
		CG11635
		CG18171
		alpha-Est10
		Send2
		CG2260
		CG10584
		CG9143
		CG12511
		CG32313
		frm
		CG7140
		GC
		CG7813
		Duox
		pygo
		bib
		CG33098
		nero
		emc
		plh
		comr
		CG14516
		CG12439
		Psa
		CG2453
		wuc
		Pfk
		CG15067
		Ak6
		CG11417
		CG43153
		PH4alphaNE2
		CG7102
		CG15570
		CG11400
		CG12004
		CG18449
		CG13773
		CG13137
		CG12682
		CG7335
		NimC4
		CG31008
		zye
		CG10628
		CG33233
		CG15198
		Tsp33B
		Noa36
		CG6729
		Cortactin
		mod
		CG18327
		dbe
		CG4709
		CG13005
		CG7744
		Drep2
		FucTD
		CG42650
		grau
		CG32982
		gskt
		bin3
		nkd
		CG14983
		CG1288
		CG10839
		l(2)k14710
		ko
		ebd1
		CG45002
		MAGE
		SoYb
		FucTB
		CG34291
		jigr1
		CG18063
		E(spl)m4-BFM
		CG16852
		CG2121
		CRAT
		FKBP59
		CG10936
		CG30376
		amd
		Osi8
		CG4586
		PH4alphaMP
		CG10307
		Rab9Db
		CG31360
		Osi5
		Syn2
		Vha16-5
		Acox57D-d
		rig
		CG18635
		CG5122
		CG32232
		RnrL
		CG16721
		CG4270
		mdlc
		CG4691
		CG9672
		CG3483
		CG4382
		CG14545
		CG3106
		unpg
		CG12398
		CG8838
		CG8258
		CG12877
		Lcp1
		CG31643
		CG6435
		Mcm6
		Ppm1
		bowl
		qless
		Vha100-3
		CG8180
		CG3611
		nop5
		CG42817
		CG30043
		CG12009
		CG32631
		CG4983
		CG11286
		Menl-2
		CG7214
		CG30109
		CG31960
		CG14995
		CG3776
		Abd-B
		Cdk4
		CG7311
		cher
		gudu
		TwdlE
		odd
		CG16762
		fs(1)N
		CG44271
		igl
		CG15125
		CG5800
		CG15200
		Tom40
		mei-P26
		CG4318
		CG15255
		PPP4R2r
		HHEX
		CG6012
		Hr4
		slow
		CG31606
		PpD5
		Art8
		CG9863
		Tbp
		Tsp42Eo
		CG3473
		CG3528
		BicC
		Cyt-b5-r
		CG10680
		pio
		CG5554
		CG9004
		CG15472
		Apoltp
		CG31600
		Eaat2
		tio
		CG30325
		CG43136
		IM33
		CG15631
		CG4611
		CG31805
		CG8292
		Vm26Aa
		CG14565
		ms(2)35Ci
		CG12481
		LS2
		CG12018
		wor
		mys
		S
		CG9222
		Rpn2
		CG31882
		CG8888
		ana2
		fd96Cb
		Def
		CG15219
		nyo
		kat-60L1
		Cyp6u1
		CG11018
		CG18812
		ey
		Cpr47Ef
		Cyp28a5
		Dr
		dah
		CG33476
		CG10486
		CG9650
		CG30384
		CG6036
		Con
		CG13991
		CG8027
		Tengl2
		CG9940
		Nckx30C
		CG34254
		CG10750
		CG18223
		CG31788
		CG10029
		sas
		Hsp60B
		IntS12
		neo
		Spn42Da
		GalT1
		to
		mahj
		pwn
		Smyd5
		Fbp2
		me31B
		Ctr1C
		bark
		ttm2
		bcd
		CG13984
		CG8746
		Iml1
		CG13526
		yellow-g
		Eb1
		Rpp30
		wapl
		RPA3
		CG4375
		CG8343
		CG13385
		CG31921
		CG13998
		otu
		fra
		CG15571
		CG5565
		CG14664
		Prosbeta2R1
		CG5033
		fit
		CG12307
		sced
		Rae1
		CG5162
		Amph
		CG10914
		Osi18
		piwi
		CG15543
		CG42592
		stops
		CG32249
		CG16826
		Cyp6a13
		rha
		pes
		ple
		Ote
		Alp1
		ETHR
		sunz
		CG32983
		Cpr65Av
		CG8915
		CG3777
		Cpr65Aw
		fy
		w-cup
		Vm26Ab
		CG8197
		mtRNApol
		Ppa
		CG17564
		CG12477
		CG43321
		yin
		Hrs
		CG12128
		PpD6
		CG5004
		CG15260
		CG14269
		CG10702
		CG14990
		CG11788
		Sclp
		Rtnl2
		CG9988
		CG17104
		CG15412
		ND-51L2
		CG18132
		CG7737
		Jhe
		CG33333
		CG4716
		CG14036
		CG15124
		CG4577
		DNApol-eta
		CG32988
		CG17802
		CG11629
		CG11459
		CG10019
		stl
		CG2854
		Pol32
		CG4278
		CG13084
		CG12470
		CG4788
		Drep3
		CG5945
		CG11377
		CG7829
		CG32344
		CG5290
		CG15878
		LPCAT
		Ogg1
		CG9917
		CG11145
		Marf
		Rpn8
		CG33306
		aub
		ec
		CkIIbeta
		Cpr49Ac
		CanA-14F
		CG33287
		CG15136
		CG13492
		CG34203
		Inx2
		miple2
		l(1)G0045
		Ser
		CG1307
		CG2199
		CG11137
		Hmgs
		net
		regucalcin
		CG30075
		CG16853
		Tsp42Ee
		Cda9
		Caf1-180
		CG5177
		CG34049
		Cp7Fa
		CG1688
		CG5755
		CG6154
		CG18213
		CG17344
		CG7840
		CG11236
		CG7745
		LeuRS
		CG4806
		Glut3
		CG2781
		CG15169
		CG42553
		CysRS
		CG9308
		CG8414
		Cp7Fb
		Coop
		Cp36
		alpha-PheRS
		CG11369
		CG6996
		AstA-R2
		CG9890
		CG17283
		Mctp
		CG31974
		S-Lap8
		Ssl
		CG5103
		CG4927
		SelD
		zpg
		CG7079
		CG2006
		CG30268
		CG11200
		zip
		stan
		ase
		CG17322
		RpI135
		Sse
		Cpr31A
		CG13423
		ttm3
		mey
		CG42271
		CG2712
		Tengl3
		dUTPase
		CG32447
		CG4433
		pon
		CG32806
		robo2
		CG17118
		CG15109
		CG15196
		CG12902
		Cpr49Ad
		CG31275
		CR10032
		CG15429
		Cyp4d1
		CG30463
		CG14506
		CG13083
		CG14315
		CG6262
		Pvf2
		CG4866
		TpnC4
		CG10565
		CG3565
		CG8939
		klhl10
		CG3906
		Prosbeta5R2
		CG16741
		E(spl)mbeta-HLH
		kon
		CG17189
		CG5612
		CG32488
		CG31207
		CG31547
		CG13558
		CG18266
		sosie
		Prosalpha3T
		CG14759
		CG1463
		CG3238
		l(3)07882
		elav
		Pex10
		Nph
		CG32762
		GstS1
		Pxt
		CG3831
		CG17739
		CG13744
		CG8929
		CG13171
		CG11077
		Parg
		abd-A
		CG32237
		AsnRS
		Zfrp8
		CG9743
		CG13900
		Orc4
		CG15803
		CG12637
		spel1
		CG42851
		fa2h
		Karl
		kel
		ap
		TTLL3B
		CG15172
		Inos
		L
		rept
		sano
		Amy-p
		CG3527
		CG31286
		CG2616
		CG42371
		CG14011
		CG43935
		CG32298
		CG5693
		CG12539
		CG12309
		bam
		CG1371
		Act42A
		CG33286
		CG12502
		Spn43Aa
		CG12896
		obst-I
		CG31819
		PpN58A
		wuho
		CG30039
		RpI1
		Cda4
		Corp
		wus
		SA-2
		CG30349
		sowi
		CG9962
		CG33181
		CG6893
		Fas3
		CG43058
		CG2662
		CG2694
		CG43691
		CG31265
		CG30487
		CG14607
		CG15147
		CG12479
		Ercc1
		Sema2b
		CG3790
		ovo
		CG13160
		CG5171
		Prat
		CG44433
		CG31482
		CG9953
		CG11889
		CG4972
		CG31731
		CG42747
		l(1)G0020
		CG30378
		CG34235
		prtp
		CG30429
		CG5968
		CG30369
		CG15533
		Gs1l
		CG30416
		CG15766
		CG34347
		ACXE
		CG13806
		ECSIT
		CG3511
		CG18568
		CG12035
		lost
		magu
		Klp59C
		CG5050
		Smvt
		Cyp312a1
		CG13894
		CG18540
		CG12883
		CG5662
		CG11333
		CG34417
		CG33228
		Fmo-2
		sli
		Atg7
		CG17574
		eIF2B-beta
		CG3430
		CG31798
		c-cup
		CG7142
		Gabat
		CG14615
		CG10911
		NimC2
		Acp65Aa
		CG1416
		Acp1
		CG31089
		CG18190
		CG7593
		CG7365
		CG2652
		TyrR
		CG14273
		CG11583
		Eglp3
		CycE
		mRpS16
		CG14544
		rdgBbeta
		Or9a
		CG33080
		CG30192
		CG34204
		Prosalpha3
		E(spl)m7-HLH
		CG3594
		CG14631
		lectin-37Da
		CG6340
		CG15208
		Sld5
		CG12661
		CG10050
		CG4151
		glob3
		Mst98Cb
		CG42834
		robo1
		CG12126
		CG11674
		CG11373
		CG14743
		CG2772
		CG32219
		CG17261
		RhoU
		CG17996
		fs(1)M3
		retm
		B-H1
		Dgk
		tomboy40
		CG4669
		CG9861
		CG42685
		CG17896
		CG7033
		CG13700
		dmrt93B
		CG42784
		CG2577
		Mipp2
		prominin-like
		CG15099
		CG12831
		CG13186
		Nup43
		Zw10
		LManVI
		CG15705
		esg
		cato
		sa
		CG13658
		AdoR
		cutlet
		Cpr65Ay
		Zip42C.2
		CG3156
		CG14297
		Kul
		Acsl
		CG6403
		CG8204
		ndl
		CG32857
		CG10068
		Acp32CD
		pkaap
		slou
		CG31773
		Elba2
		ImpL2
		Wnt4
		fon
		CG6724
		mbt
		CG11099
		shg
		asf1
		tor
		CG43134
		CG42700
		swif
		CG32299
		AIMP1
		CG15283
		Fip1
		CG13223
		yip3
		CG9993
		CG42336
		Orc5
		CG43183
		CG33140
		CG13921
		CG13793
		CG31664
		CG15734
		tara
		lqf
		CG13217
		CG3124
		CG9497
		CG15369
		Hex-C
		cib
		CG9582
		phr
		CG30371
		tzn
		CG32687
		laza
		CG3748
		CG31928
		CadN
		l(1)1Bi
		CG33136
		CG32281
		CG17691
		Cpr49Ae
		CG11076
		Drsl1
		Mob4
		robo3
		Mtpalpha
		mil
		CG9235
		CG8765
		PPYR1
		CG33786
		Gpo-1
		Iris
		Cpr100A
		CG14659
		CG42240
		tsh
		CG10510
		twe
		Nup160
		CG5199
		CG18600
		CG32263
		CG31886
		TpnC41C
		Kah
		CG31898
		CG14074
		rdgA
		CG10934
		CG34026
		RfC4
		CG31226
		CG15514
		CG41106
		ab
		CG11321
		Actn3
		CG14974
		Ice1
		WDR79
		boil
		CG11106
		CG11883
		l(2)efl
		CG3251
		CG11334
		CG11298
		Rbp9
		l(2)dtl
		Akap200
		GstE9
		CG18870
		mRpS23
		Menl-1
		CG3213
		CG3121
		CG14628
		SkpF
		CG2336
		en
		CG42820
		RpIII128
		CG31797
		CG33460
		CG8289
		CG13144
		CG15145
		CG15710
		CG9879
		CG4161
		Phb2
		betaNACtes6
		nht
		CG3491
		CG14183
		CG8064
		CG11403
		dnk
		CG4681
		PH4alphaSG1
		NimC1
		CG10919
		ph-p
		CG31007
		nmdyn-D6
		CG15034
		ImpE2
		smid
		CG15293
		CG15167
		Rs1
		Vha14-2
		MYPT-75D
		Prtl99C
		CG9445
		tos
		CG5255
		Aldh
		lectin-37Db
		CG34312
		Usp14
		CG12123
		GEFmeso
		Klp59D
		CG4901
		CG18258
		SLO2
		Nle
		CG4955
		CG30447
		Slbp
		CG8564
		ACXD
		CG4714
		CG15711
		CG14543
		CG31213
		CG1077
		retn
		CG31988
		niki
		ZnT63C
		CG1561
		Lcp65Ab2
		CG14258
		Rpt6R
		E(spl)m5-HLH
		eco
		muc
		olf186-M
		CG13082
		CG43331
		CG10700
		CG12914
		CG14305
		geminin
		Grx-1
		lox2
		CG34296
		CG12736
		sub
		CG4935
		Dic4
		CG1142
		CG12516
Species	1420	TbCMF46
		spz4
		CG42674
		Bgb
		SmydA-6
		CG15317
		CG33655
		CG11191
		CG42324
		CG15111
		axo
		CG5639
		sv
		na
		Glo1
		Max
		Dic3
		RpLP2
		e(r)
		CG10874
		Spn77Bc
		Pect
		CG1941
		Mvl
		CG10483
		CG14326
		CG3040
		CG9344
		Ppat-Dpck
		mgl
		CG32246
		CG13766
		CG5282
		ade2
		CadN2
		CG32750
		repo
		CG7289
		CG7044
		CG12104
		Set1
		CG1998
		CG15522
		SkpB
		CG1888
		Nedd8
		CG31922
		Ada2a
		Dgkepsilon
		CG10137
		CG5160
		CG2556
		RpII18
		CG13321
		RpL31
		Ih
		CG11134
		Cyp6a17
		CG12910
		inaF-B
		CG15120
		CG13367
		KFase
		CG11340
		RpS23
		ppk19
		CG8788
		GstE11
		14-3-3epsilon
		CG34402
		Cyp12b2
		CG33521
		CG13258
		Dpy-30L1
		CG8818
		CG42837
		Tsp42Ea
		Dhc98D
		CG14340
		CG10465
		His1:CG33849
		CG10513
		htt
		Snap29
		CG7130
		CG42381
		Ykt6
		or
		Mtch
		Prosbeta5
		cv
		RpL18
		Got1
		CG10189
		CCHa1-R
		Edem1
		NimA
		CG18067
		CG31706
		CG14671
		Or43b
		hdm
		Axs
		CG9098
		Madm
		Clc
		CG34043
		yellow-d
		Dysb
		CG9568
		CG9119
		Tsp42Eh
		CG2887
		RpL26
		CG5045
		CG8550
		pho
		CG5793
		GM130
		Tsp42Ei
		NimB1
		Muc55B
		CG44243
		CG15642
		CG17994
		betaggt-II
		ben
		CG3168
		CG7988
		CG33774
		Taf6
		CG34176
		CG14089
		CG13775
		alpha-catenin-related
		Atf-2
		btv
		Nep1
		slv
		CG31918
		Cpr11B
		Srp19
		CG30466
		Syx5
		Smu1
		Ccp84Ab
		CG3294
		CG13511
		Damm
		CG3149
		CG9380
		htl
		Tim17b1
		CG4884
		stet
		CG15211
		CG10337
		CG11127
		RpL40
		CG7824
		CG31380
		sick
		CG14894
		CG9849
		PI31
		Usf
		Rap1
		CG13085
		Ubc10
		CG34231
		CG14823
		Sps2
		CG15423
		CG10333
		E(spl)m6-BFM
		mtd
		futsch
		CG32485
		CG1640
		CG31955
		CG6401
		ref(2)P
		CG30338
		CG2200
		CG43187
		CG15563
		Oatp58Db
		CG18747
		CG1902
		Sec71
		CG15209
		Cand1
		ade3
		CG17816
		CG7173
		CG2021
		stnA
		CSN5
		FIG4
		DCTN5-p25
		CG3860
		Vha14-1
		unc-45
		wry
		cni
		CG15742
		CG15754
		NLaz
		CG5285
		CG6191
		CG14352
		Smg5
		RpL19
		CG6145
		CG5697
		udd
		CG15653
		CG1316
		CG5126
		CG30098
		CG11791
		PNUTS
		PIP4K
		CG17493
		Syt14
		sgll
		pre-mod(mdg4)-Y
		CG9826
		CG3071
		Vps29
		CG42680
		CG4050
		Lcp65Ac
		CG17059
		mago
		Pex16
		CG3348
		RpS27A
		CG12194
		Rep
		rev7
		CG13196
		cuff
		CG18173
		l(2)SH0834
		oys
		CG8237
		CG12688
		DCTN2-p50
		CG34315
		Vps33B
		Sdhaf3
		CG12071
		CG6495
		Gpi1
		ths
		Hydr2
		Sry-beta
		CG2862
		CG2663
		Yippee
		CG9717
		CSN4
		CG11052
		Sec22
		Mdh1
		cmpy
		smt3
		bug
		Raf
		CG12698
		bab1
		CG6613
		CG13229
		Gr32a
		CG3358
		CG12006
		ine
		CG16998
		CG15362
		CG4074
		CG18467
		Cyp6a9
		Adat1
		CG14818
		CG42246
		Adhr
		Blos3
		CG2017
		CG32407
		lute
		CG12333
		holn1
		CG7791
		CG11155
		CG7376
		Dhc64C
		CG7970
		CG10338
		C901
		Pask
		CG14803
		tank
		Rtca
		CG30172
		CG13398
		CG14480
		CG3499
		CG42374
		CG32695
		mts
		CG10063
		CG17658
		RpL27
		dor
		epsilonTry
		CG14636
		mei-P22
		CG15725
		RpL23A
		CG13663
		ATPCL
		CG15117
		Hs2st
		CG14798
		CG11070
		maf-S
		Cyp4ac1
		CG5104
		gammaSnap1
		CG10492
		CG16935
		CG11927
		CG1360
		rau
		D19B
		CG30265
		Proc
		CG31087
		CG13131
		CG12849
		Nipsnap
		fsd
		CG34214
		lolal
		CG8207
		CG13204
		ssp6
		CG33981
		rho-5
		CG12025
		Slh
		snRNP-U1-C
		Der-1
		Tapdelta
		CG2003
		CG30184
		CG18748
		Tbce
		Doa
		CG15005
		ttk
		CG8813
		CG3732
		SCAP
		CG14410
		CG32428
		CG11739
		her
		Vha100-2
		Mtk
		CG13784
		cana
		IM4
		CG10778
		CG13437
		CG8661
		be
		CG11777
		CG14042
		Fpps
		Gmd
		agt
		CG2137
		DIP-theta
		lawc
		CG34194
		CG30094
		Sgt
		Fer1HCH
		pre-mod(mdg4)-Z
		Rgk2
		CG5853
		CG12084
		Ssadh
		ppk17
		CG7466
		CG43774
		aust
		CG3534
		GstT1
		CG34021
		CG10343
		CG2698
		CG32368
		sqa
		Ost48
		mlt
		CG11885
		CG4025
		GatC
		CG7985
		Cyp303a1
		CG9673
		CG10362
		CG18065
		beat-IIa
		Gale
		CG8252
		Tsp42Ec
		nemy
		CG3198
		GstE1
		RNASEK
		CG1317
		Ptp10D
		loj
		CG5984
		mino
		CG13890
		CG34159
		CG6144
		fab1
		Elk
		Blos1
		St3
		CG43781
		CG13319
		CG7810
		CG31525
		e(y)2b
		CG13810
		ema
		ppk29
		CG5010
		RpL4
		lwr
		Rpb12
		EfSec
		tow
		CG17124
		CG3814
		Rab8
		loqs
		EMC3
		mute
		FMRFa
		CG33635
		kek3
		lectin-33A
		CG7692
		CG17652
		baf
		CG10904
		mmy
		CG6462
		CG17717
		CG2656
		CG42259
		Inx7
		CG34424
		CG9586
		mdy
		CG13427
		CG15701
		CG34436
		mtm
		CG15414
		CG44303
		T3dh
		Nlg2
		CG5096
		CG13088
		CG18622
		Mlp84B
		Taf10b
		CG10469
		CG34293
		CG15418
		Aac11
		CG10602
		CG42613
		CG8646
		CG32563
		CG33129
		CG15912
		RabX6
		CG11317
		Lgr1
		Cp110
		SmF
		Hil
		CG1136
		Torsin
		CG9121
		Dnz1
		CG32202
		CG9186
		Ask1
		CG42564
		CG17221
		CG42237
		eIF2D
		Jon99Cii
		CG8814
		RpL7A
		CG10747
		Eip63F-1
		GLaz
		RpL39
		Tdc1
		Urm1
		Trf4-2
		CG14624
		CG7655
		CG5877
		CG13926
		CG9164
		CG14445
		CG15771
		CG2990
		CPT2
		Rev1
		CG31103
		Ccs
		Der-2
		CG34313
		Or47a
		Spat
		sxc
		Sac1
		Vha100-5
		Cdk5alpha
		Eh
		CG6739
		Nnf1a
		pyd3
		eas
		Ir54a
		Clbn
		Tsp42Ed
		CG10424
		Tsp5D
		Rad1
		Dak1
		CG15365
		CG9372
		VhaM9.7-c
		ppk11
		CG30197
		Thiolase
		CG2157
		CG31542
		Dh31-R
		Dfd
		Swim
		CG32204
		CG17294
		Prosalpha6
		CG5885
		CG31115
		HSPC300
		Hnf4
		Grip
		CG17190
		CG34459
		cl
		twi
		Snapin
		CG42304
		CG17350
		Vha44
		CCDC53
		Kr-h2
		ppk18
		MESK2
		BHD
		CG5819
		goe
		CG30010
		CG5934
		CG3709
		CG15547
		Csat
		wac
		CenG1A
		GstE3
		CG31229
		RpLP1
		Gbp1
		UbcE2H
		pyr
		CG5287
		CG11857
		Srp54k
		spz5
		PGAP3
		CG8854
		FANCI
		mRNA-cap
		CG32301
		CG12862
		CG14830
		CG12990
		DptB
		CG5189
		Lcp65Ae
		Pde1c
		CG30046
		AsnRS-m
		CG15203
		CG6951
		CG33017
		Cpsf100
		CG14024
		CG4789
		CG31064
		CG4230
		5-HT7
		CG2993
		CG15014
		CG32708
		CG43273
		CG42399
		Rab14
		c12.1
		CG14642
		Vmat
		RpL35A
		CG13021
		CG3038
		Clic
		RpS15Aa
		CG4858
		CG3703
		p47
		Arpc4
		CG12484
		Bili
		Dif
		CG11470
		CG14984
		CG42265
		REPTOR-BP
		AttC
		Jheh2
		Fim
		dsf
		CG31279
		CG34408
		CG34216
		CG34256
		MFS15
		crn
		etaTry
		Ent1
		IM2
		Ccz1
		xit
		Prosbeta7
		CG34199
		Brms1
		CG10053
		EloC
		CG42512
		Prx6005
		CG13562
		Cpr64Ad
		Sec63
		CG3091
		Rint1
		CG14997
		mon2
		CG9067
		Lon
		CG2126
		NTPase
		Mesh1
		CG31712
		Erk7
		NaPi-T
		CG3713
		Cpr64Aa
		CG7787
		Lamp1
		CG6299
		Non2
		CG15263
		CG4607
		dpr3
		CG9330
		AP-2alpha
		laccase2
		Atac2
		DIP-alpha
		Faf2
		Cdc27
		CG15279
		CG34183
		Hem
		Shab
		CG4744
		CG12010
		CG32756
		CG42231
		loh
		CG4301
		CG3164
		CG42562
		alrm
		Cct2
		tub
		PRL-1
		Cyp6t3
		CG17528
		CG13920
		BtbVII
		CG3841
		CG2147
		del
		Listericin
		CG17598
		CG34393
		CG13563
		Or83c
		Arf51F
		CG12239
		Syn1
		CG4646
		Alp4
		Caper
		Csas
		CG4793
		RhoGAP15B
		CG13999
		jet
		Pdf
		l(3)76BDm
		Spec2
		CycY
		CHOp24
		CG3746
		Cyp4g15
		CG18336
		CG31694
		CDase
		Pink1
		EndoA
		CG1126
		CG5969
		Pal2
		Cyp6a18
		Syx4
		mRpL46
		CG1628
		Jon44E
		CG30291
		CG32641
		PIG-V
		Dpck
		inaD
		CG4341
		Amyrel
		sns
		mspo
		AhcyL1
		CG15579
		Tg
		CG3625
		ScpX
		S1P
		CG17982
		Arv1
		Kif3C
		CG7456
		CG3008
		VhaAC39-1
		beta-Man
		CG30280
		jagn
		Arp5
		inaE
		Ric
		CG8852
		Nipped-A
		Myd88
		CG33082
		CG4592
		CG33281
		Aprt
		CG15506
		Pex12
		CG43322
		l(2)34Fc
		Picot
		arg
		Sec61beta
		eIF2B-gamma
		obst-B
		clt
		Sec23
		Idgf2
		Cep89
		gem
		CG11353
		cnir
		CG32391
		CG32196
		CG9509
		CG17324
		Mtap
		Ag5r2
		CG8323
		CG1946
		CG31663
		Cyp4d8
		Pfdn4
		OstStt3
		CG8629
		Arf79F
		l(2)k12914
		CG33229
		CG12869
		Cad96Cb
		Rap2l
		CG7627
		CG1545
		CG14020
		CG33307
		CG5381
		Cyp4p3
		pst
		CG8908
		Tfb5
		Gycalpha99B
		SNRPG
		CG6852
		CG9960
		Nca
		CG4390
		RpS6
		Rpb5
		CG32017
		CG2911
		CG18808
		CG34228
		Cadps
		ppk16
		RpL23
		Cwc25
		CG7149
		Lnk
		CG15358
		CG7668
		Osi21
		CG15526
		CG18508
		Rab30
		CG2983
		Jafrac2
		shv
		CG15432
		CG13280
		CG5080
		Itp-r83A
		CG5397
		CG30441
		CG18745
		CG14812
		CG15535
		CG10347
		Uev1A
		CG14043
		CG4313
		CG17931
		CG12112
		DIP-iota
		Shal
		Pi3K59F
		DNApol-gamma35
		Rab18
		seq
		CG13010
		Ubc6
		gce
		Klp31E
		RpS8
		CG10669
		CG42488
		CG5174
		Pex23
		CG8475
		arm
		CG33995
		CG30392
		CG14570
		CG5611
		Hf
		CG31729
		CG17224
		CG10731
		CG17928
		Efhc1.2
		CG6294
		CG18731
		CG2931
		CG7295
		veil
		RpL18A
		mag
		Or22a
		cyp33
		CG9967
		Tmem18
		NitFhit
		Git
		Cdc37
		CG17147
		beta4GalNAcTB
		CG31812
		CG33632
		CG34234
		POLDIP2
		Mid1
		Fit1
		CG1137
		CG42807
		Cib2
		CG13248
		CG17765
		CG17760
		CG3781
		CG12913
		Rrp40
		Ggamma1
		CG17999
		Tango11
		l(2)k01209
		CG14966
		Vps8
		CG7997
		tobi
		GNBP2
		galectin
		CG3792
		Arf102F
		gny
		CG2046
		CG33672
		CG42496
		CG32638
		CG3568
		CG14968
		Ucp4B
		CG7382
		CG15545
		GlcAT-I
		CG10062
		CG14182
		GLS
		CG31102
		CG15772
		CG17323
		Cyp9h1
		CG4194
		CG13384
		ppk10
		CG31550
		CG30120
		Rab3
		CG8083
		CalpA
		CG18170
		CG2254
		CG1927
		CG2930
		CG13813
		CG9150
		Lpin
		Atg2
		metl
		CG10352
		Mfap1
		Fibp
		CG12512
		CG7191
		CG32650
		fidipidine
		CG1358
		CG10721
		fu12
		CG7148
		CG30259
		UK114
		Vps25
		svr
		CG30281
		Syx17
		CG9410
		Tango5
		CG8602
		isoQC
		CG42321
		Taz
		CG31523
		Decay
		CG6984
		CG17744
		Herp
		CG8272
		CG9400
		CG2991
		CG15891
		Dh31
		RpS27
		Cul2
		CG2982
		aralar1
		YL-1
		BuGZ
		CG15422
		SamDC
		CG30339
		CG30116
