Gene	sim	sec
CG1371	Dsim\GD26007	Dsec\GM20553
CG13711	Dsim\GD13861	Dsec\GM14678
CG13712	Dsim\GD13236	Dsec\GM13953
CG13713	Dsim\GD13859	Dsec\GM14677
CG13716	Dsim\GD13243	Dsec\GM13961
CG13720	Dsim\GD13251	Dsec\GM13969
CG13721	Dsim\GD13254	Dsec\GM13970
CG13722	Dsim\GD13256	Dsec\GM13971
CG13723	Dsim\GD14696	Dsec\GM25690
CG13724	Dsim\GD14699	Dsec\GM25692
CG13725	Dsim\GD12419	Dsec\GM24345
CG13727	Dsim\GD12416	Dsec\GM24342
CG13728	Dsim\GD12412	Dsec\GM24338
CG13733	Dsim\GD12402	Dsec\GM24329
CG13737	Dsim\GD14460	Dsec\GM25435
CG13738	Dsim\GD12642	Dsec\GM24570
CG13741	Dsim\GD10106	Dsec\GM20633
CG13742	Dsim\GD10108	Dsec\GM20635
CG13743	Dsim\GD10110	Dsec\GM19599
CG13744	Dsim\GD10114	Dsec\GM20641
CG13747	Dsim\GD10621	Dsec\GM21085
CG13748	Dsim\GD10616	Dsec\GM21081
CG13749	Dsim\GD10965	Dsec\GM21080
CG13751	Dsim\GD10609	Dsec\GM21073
CG13759	Dsim\GD16609	Dsec\GM19229
CG13766	Dsim\GD22564	Dsec\GM14121
CG13771	Dsim\GD22557	Dsec\GM14023
CG13773	Dsim\GD22536	Dsec\GM13771
CG13775	Dsim\GD22525	Dsec\GM13709
CG13784	Dsim\GD22507	Dsec\GM13609
CG13786	Dsim\GD22502	Dsec\GM13588
CG13793	Dsim\GD22478	Dsec\GM13415
CG13796	Dsim\GD22474	Dsec\GM13394
CG13806	Dsim\GD13674	Dsec\GM14477
CG13807	Dsim\GD13670	Dsec\GM14476
CG13810	Dsim\GD13664	Dsec\GM14466
CG13813	Dsim\GD14862	Dsec\GM22264
CG13827	Dsim\GD21009	Dsec\GM26496
CG13829	Dsim\GD18400	Dsec\GM23586
CG13833	Dsim\GD18413	Dsec\GM23600
CG13837	Dsim\GD15179	Dsec\GM26480
CG13838	Dsim\GD15178	Dsec\GM26479
CG13840	Dsim\GD18419	Dsec\GM23608
CG13841	Dsim\GD18420	Dsec\GM23610
CG13842	Dsim\GD18438	Dsec\GM23627
CG13843	Dsim\GD20967	Dsec\GM26449
CG13850	Dsim\GD18463	Dsec\GM23655
CG13855	Dsim\GD20946	Dsec\GM26430
CG13856	Dsim\GD20945	Dsec\GM26428
CG13857	Dsim\GD18464	Dsec\GM23656
CG13862	Dsim\GD20934	Dsec\GM26413
CG13868	Dsim\GD25283	Dsec\GM19791
CG13869	Dsim\GD25297	Dsec\GM19804
CG1387	Dsim\GD16894	Dsec\GM21518
CG13870	Dsim\GD11512	Dsec\GM22013
CG13871	Dsim\GD11507	Dsec\GM10409
CG13872	Dsim\GD25304	Dsec\GM19812
CG13875	Dsim\GD13549	Dsec\GM14312
CG13876	Dsim\GD13553	Dsec\GM14316
CG13877	Dsim\GD13557	Dsec\GM14319
CG13884	Dsim\GD25708	Dsec\GM14279
CG13887	Dsim\GD13575	Dsec\GM14356
CG13890	Dsim\GD13579	Dsec\GM14360
CG13891	Dsim\GD25704	Dsec\GM14275
CG13893	Dsim\GD13526	Dsec\GM14271
CG13894	Dsim\GD13515	Dsec\GM14258
CG13895	Dsim\GD13514	Dsec\GM14257
CG13896	Dsim\GD13511	Dsec\GM14255
CG13898	Dsim\GD13508	Dsec\GM14251
CG13900	Dsim\GD13507	Dsec\GM14250
CG13901	Dsim\GD13506	Dsec\GM14249
CG13902	Dsim\GD13505	Dsec\GM14248
CG13905	Dsim\GD13583	Dsec\GM14365
CG13907	Dsim\GD13503	Dsec\GM14246
CG13912	Dsim\GD13591	Dsec\GM14375
CG13917	Dsim\GD13629	Dsec\GM14426
CG13919	Dsim\GD13633	Dsec\GM14431
CG13920	Dsim\GD13635	Dsec\GM14433
CG13921	Dsim\GD13643	Dsec\GM14441
CG13924	Dsim\GD13655	Dsec\GM14455
CG13926	Dsim\GD13463	Dsec\GM14199
CG13928	Dsim\GD13459	Dsec\GM14196
CG13930	Dsim\GD13451	Dsec\GM14183
CG13933	Dsim\GD13440	Dsec\GM14171
CG13937	Dsim\GD13428	Dsec\GM14158
CG13949	Dsim\GD23052	Dsec\GM16773
CG13954	Dsim\GD10081	Dsec\GM20608
CG13955	Dsim\GD10075	Dsec\GM20602
CG13962	Dsim\GD21731	Dsec\GM16983
CG13965	Dsim\GD21726	Dsec\GM18813
CG13972	Dsim\GD18076	Dsec\GM10104
CG13982	Dsim\GD23408	Dsec\GM18628
CG13983	Dsim\GD22591	Dsec\GM17952
CG13984	Dsim\GD23399	Dsec\GM18618
CG13989	Dsim\GD23393	Dsec\GM18611
CG13991	Dsim\GD12024	Dsec\GM18608
CG13992	Dsim\GD22618	Dsec\GM17980
CG13994	Dsim\GD23382	Dsec\GM18598
CG13996	Dsim\GD23378	Dsec\GM18590
CG13998	Dsim\GD22622	Dsec\GM17985
CG13999	Dsim\GD22623	Dsec\GM17986
CG14005	Dsim\GD22630	Dsec\GM17996
CG14007	Dsim\GD22638	Dsec\GM18006
CG14011	Dsim\GD22644	Dsec\GM18011
CG14013	Dsim\GD22646	Dsec\GM18012
CG14014	Dsim\GD22647	Dsec\GM18013
CG14017	Dsim\GD23351	Dsec\GM18558
CG1402	Dsim\GD16866	Dsec\GM11974
CG14020	Dsim\GD23344	Dsec\GM18550
CG14024	Dsim\GD22657	Dsec\GM18029
CG14034	Dsim\GD22660	Dsec\GM18032
CG14036	Dsim\GD22665	Dsec\GM18039
CG14042	Dsim\GD12020	Dsec\GM18518
CG14043	Dsim\GD23313	Dsec\GM18509
CG14050	Dsim\GD16371	Dsec\GM18889
CG14052	Dsim\GD16597	Dsec\GM19212
CG14053	Dsim\GD16386	Dsec\GM18909
CG14057	Dsim\GD12427	Dsec\GM24350
CG14062	Dsim\GD18024	Dsec\GM12290
CG14069	Dsim\GD22210	Dsec\GM11281
CG1407	Dsim\GD26013	Dsec\GM20560
CG14070	Dsim\GD22212	Dsec\GM11303
CG14071	Dsim\GD22214	Dsec\GM11314
CG14072	Dsim\GD23742	Dsec\GM18763
CG14073	Dsim\GD12326	Dsec\GM14920
CG14074	Dsim\GD14773	Dsec\GM14995
CG14075	Dsim\GD14785	Dsec\GM15008
CG14077	Dsim\CoVIa	Dsec\GM14911
CG14079	Dsim\GD14788	Dsec\GM15011
CG14082	Dsim\GD17562	Dsec\GM14891
CG14086	Dsim\GD14797	Dsec\GM15020
CG14089	Dsim\GD12290	Dsec\GM14882
CG14100	Dsim\GD12269	Dsec\GM17520
CG14102	Dsim\GD12252	Dsec\GM16391
CG14103	Dsim\GD12251	Dsec\GM16288
CG14104	Dsim\GD12249	Dsec\GM16219
CG14105	Dsim\GD12662	Dsec\GM24593
CG14106	Dsim\GD12663	Dsec\GM24594
CG14107	Dsim\GD12670	Dsec\GM24601
CG14109	Dsim\GD14450	Dsec\GM25420
CG14110	Dsim\GD14447	Dsec\GM25417
CG14111	Dsim\GD14445	Dsec\GM25415
CG14113	Dsim\GD14441	Dsec\GM25410
CG14115	Dsim\GD12676	Dsec\GM24610
CG14117	Dsim\GD14420	Dsec\GM25387
CG14118	Dsim\GD14414	Dsec\GM25382
CG14120	Dsim\GD14412	Dsec\GM25379
CG14125	Dsim\GD14346	Dsec\GM25314
CG14130	Dsim\GD14332	Dsec\GM25300
CG14131	Dsim\GD14328	Dsec\GM25297
CG14132	Dsim\GD12780	Dsec\GM24718
CG14135	Dsim\GD14322	Dsec\GM25291
CG14137	Dsim\GD12792	Dsec\GM24733
CG14141	Dsim\GD14295	Dsec\GM25261
CG14142	Dsim\GD14293	Dsec\GM25259
CG14147	Dsim\GD14270	Dsec\GM25236
CG14151	Dsim\GD12858	Dsec\GM24805
CG14153	Dsim\GD14253	Dsec\GM25220
CG14154	Dsim\GD14252	Dsec\GM25219
CG1416	Dsim\GD24332	Dsec\GM16143
CG14160	Dsim\GD12876	Dsec\GM24824
CG14164	Dsim\GD12882	Dsec\GM24830
CG14174	Dsim\GD14211	Dsec\GM25180
CG1418	Dsim\GD10035	Dsec\GM20563
CG14182	Dsim\GD12237	Dsec\GM15115
CG14183	Dsim\GD12231	Dsec\GM14642
CG14184	Dsim\GD12229	Dsec\GM14533
CG14185	Dsim\GD14853	Dsec\GM22255
CG14186	Dsim\GD12225	Dsec\GM22254
CG14187	Dsim\GD12223	Dsec\GM22251
CG14194	Dsim\GD17431	Dsec\GM22949
CG14195	Dsim\GD15593	Dsec\GM22758
CG14196	Dsim\GD15591	Dsec\GM22756
CG14200	Dsim\GD26015	Dsec\GM22963
CG14204	Dsim\GD18372	Dsec\GM23555
CG14205	Dsim\GD15573	Dsec\GM22730
CG14207	Dsim\GD24875	Dsec\GM22970
CG1421	Dsim\GD24336	Dsec\GM16147
CG14212	Dsim\GD17453	Dsec\GM22975
CG14218	Dsim\GD14835	Dsec\GM22731
CG14220	Dsim\GD15572	Dsec\GM22729
CG14221	Dsim\GD24456	Dsec\GM22726
CG14227	Dsim\GD24450	Dsec\GM22717
CG14229	Dsim\GD24449	Dsec\GM22715
CG14230	Dsim\GD17457	Dsec\GM22984
CG14231	Dsim\GD15569	Dsec\GM22713
CG14232	Dsim\GD15568	Dsec\GM22712
CG14237	Dsim\GD21286	Dsec\GM10325
CG14238	Dsim\GD21287	Dsec\GM10326
CG14244	Dsim\GD21300	Dsec\GM10340
CG14245	Dsim\GD21301	Dsec\GM10341
CG14246	Dsim\GD21302	Dsec\GM10342
CG14247	Dsim\GD21305	Dsec\GM10343
CG14253	Dsim\GD21318	Dsec\GM10356
CG14257	Dsim\GD21323	Dsec\GM10363
CG14258	Dsim\GD21324	Dsec\GM10364
CG14259	Dsim\GD21325	Dsec\GM10365
CG14262	Dsim\GD15079	Dsec\GM10115
CG14269	Dsim\GD16333	Dsec\GM18835
CG14270	Dsim\GD16328	Dsec\GM12722
CG14273	Dsim\GD23526	Dsec\GM16898
CG14274	Dsim\GD23525	Dsec\GM16897
CG14275	Dsim\GD23524	Dsec\GM16894
CG14277	Dsim\GD23518	Dsec\GM16865
CG1428	Dsim\GD24337	Dsec\GM16148
CG14280	Dsim\GD19280	Dsec\GM26832
CG14282	Dsim\GD19276	Dsec\GM26828
CG14285	Dsim\GD19264	Dsec\GM23274
CG14286	Dsim\GD19263	Dsec\GM23263
CG14291	Dsim\GD20144	Dsec\GM18674
CG14292	Dsim\GD20146	Dsec\GM18675
CG14294	Dsim\GD20148	Dsec\GM18677
CG14297	Dsim\GD19253	Dsec\GM17892
CG14298	Dsim\GD19252	Dsec\GM17891
CG14300	Dsim\GD20155	Dsec\GM18688
CG14301	Dsim\GD20160	Dsec\GM18694
CG14302	Dsim\GD19247	Dsec\GM17888
CG14304	Dsim\GD20163	Dsec\GM18696
CG14305	Dsim\GD19235	Dsec\GM17875
CG14309	Dsim\GD20173	Dsec\GM18706
CG14313	Dsim\GD20198	Dsec\GM15322
CG14314	Dsim\GD19214	Dsec\GM15287
CG14315	Dsim\GD19203	Dsec\GM15279
CG14316	Dsim\GD19201	Dsec\GM15278
CG14317	Dsim\GD19199	Dsec\GM15274
CG14321	Dsim\GD19185	Dsec\GM15261
CG14322	Dsim\GD19179	Dsec\GM15255
CG14323	Dsim\GD20221	Dsec\GM15351
CG14325	Dsim\GD19177	Dsec\GM15252
CG14326	Dsim\GD19175	Dsec\GM15250
CG14327	Dsim\GD19174	Dsec\GM15249
CG14329	Dsim\GD19172	Dsec\GM15247
CG14330	Dsim\GD20230	Dsec\GM15360
CG14331	Dsim\GD20232	Dsec\GM15362
CG14332	Dsim\GD20233	Dsec\GM15364
CG14339	Dsim\GD23067	Dsec\GM16790
CG1434	Dsim\GD17163	Dsec\GM17665
CG14340	Dsim\GD23068	Dsec\GM16791
CG14341	Dsim\GD23077	Dsec\GM16801
CG14342	Dsim\GD23088	Dsec\GM16807
CG14346	Dsim\GD23097	Dsec\GM16817
CG14352	Dsim\GD23105	Dsec\GM16825
CG14353	Dsim\GD14735	Dsec\GM11645
CG14354	Dsim\GD21236	Dsec\GM10266
CG14355	Dsim\GD20450	Dsec\GM25881
CG14356	Dsim\GD20452	Dsec\GM25882
CG14357	Dsim\GD20457	Dsec\GM25886
CG14362	Dsim\GD20471	Dsec\GM25902
CG14367	Dsim\GD18921	Dsec\GM24123
CG14369	Dsim\GD26005	Dsec\GM25925
CG14372	Dsim\GD18910	Dsec\GM24110
CG14380	Dsim\GD18888	Dsec\GM24089
CG14383	Dsim\GD20530	Dsec\GM25970
CG14391	Dsim\GD20547	Dsec\GM25986
CG14395	Dsim\GD18853	Dsec\GM24055
CG14397	Dsim\GD24298	Dsec\GM23389
CG1440	Dsim\GD16898	Dsec\GM21572
CG14400	Dsim\GD21671	Dsec\GM23299
CG14401	Dsim\GD24293	Dsec\GM23384
CG14402	Dsim\GD24288	Dsec\GM23378
CG14406	Dsim\GD24503	Dsec\GM12019
CG14407	Dsim\GD15835	Dsec\GM12034
CG1441	Dsim\GD10039	Dsec\GM20568
CG14410	Dsim\GD17181	Dsec\GM12048
CG14411	Dsim\GD17180	Dsec\GM12047
CG14414	Dsim\GD17174	Dsec\GM17679
CG14416	Dsim\GD16351	Dsec\GM18850
CG14417	Dsim\GD16350	Dsec\GM18849
CG14419	Dsim\GD16349	Dsec\GM18847
CG14420	Dsim\GD16626	Dsec\GM19256
CG14421	Dsim\GD24740	Dsec\GM19257
CG14427	Dsim\GD16831	Dsec\GM17502
CG14431	Dsim\GD24761	Dsec\GM17494
CG14434	Dsim\GD24582	Dsec\GM12544
CG14435	Dsim\GD24583	Dsec\GM12546
CG14438	Dsim\GD16814	Dsec\GM12526
CG14440	Dsim\GD24584	Dsec\GM12556
CG14441	Dsim\GD16813	Dsec\GM12521
CG14442	Dsim\GD24585	Dsec\GM12557
CG14445	Dsim\GD16788	Dsec\GM12469
CG14448	Dsim\GD15052	Dsec\GM22471
CG14450	Dsim\GD12057	Dsec\GM22082
CG14451	Dsim\GD12058	Dsec\GM22083
CG14455	Dsim\GD12063	Dsec\GM22088
CG14456	Dsim\GD15044	Dsec\GM22461
CG14457	Dsim\GD15043	Dsec\GM22460
CG14459	Dsim\GD12065	Dsec\GM22090
CG14463	Dsim\GD19961	Dsec\GM10991
CG14478	Dsim\GD11270	Dsec\GM21779
CG14480	Dsim\GD11291	Dsec\GM21802
CG14483	Dsim\GD25461	Dsec\GM19967
CG14488	Dsim\GD25441	Dsec\GM19950
CG14490	Dsim\GD11326	Dsec\GM21832
CG14491	Dsim\GD11327	Dsec\GM21833
CG14492	Dsim\GD25429	Dsec\GM19940
CG14495	Dsim\GD25422	Dsec\GM19933
CG14500	Dsim\GD11349	Dsec\GM21855
CG14502	Dsim\GD11356	Dsec\GM21863
CG14505	Dsim\GD25397	Dsec\GM19912
CG14506	Dsim\GD17831	Dsec\GM12246
CG14507	Dsim\GD17895	Dsec\GM12251
CG14509	Dsim\GD17939	Dsec\GM12256
CG14512	Dsim\GD17960	Dsec\GM12261
CG14515	Dsim\GD21425	Dsec\GM12774
CG14516	Dsim\GD21419	Dsec\GM12769
CG14518	Dsim\GD21399	Dsec\GM25347
CG14527	Dsim\GD21387	Dsec\GM12744
CG14528	Dsim\GD21385	Dsec\GM12742
CG14535	Dsim\GD22463	Dsec\GM13290
CG14537	Dsim\GD23493	Dsec\GM16621
CG14540	Dsim\GD21253	Dsec\GM10285
CG14543	Dsim\GD21267	Dsec\GM10304
CG14544	Dsim\GD21268	Dsec\GM10305
CG14545	Dsim\GD18162	Dsec\GM10210
CG14546	Dsim\GD18160	Dsec\GM10208
CG14550	Dsim\GD18148	Dsec\GM10198
CG14551	Dsim\GD18146	Dsec\GM10196
CG14561	Dsim\GD15018	Dsec\GM22428
CG14562	Dsim\GD15010	Dsec\GM22418
CG14564	Dsim\GD14996	Dsec\GM22405
CG14565	Dsim\GD12088	Dsec\GM22111
CG14566	Dsim\GD12089	Dsec\GM22112
CG14567	Dsim\GD12090	Dsec\GM22113
CG14568	Dsim\GD12091	Dsec\GM22114
CG14569	Dsim\GD12092	Dsec\GM22115
CG14570	Dsim\GD12093	Dsec\GM22116
CG14572	Dsim\GD14994	Dsec\GM22403
CG14573	Dsim\GD14990	Dsec\GM22402
CG14579	Dsim\GD17522	Dsec\GM23069
CG14589	Dsim\GD10397	Dsec\GM16535
CG14591	Dsim\GD10339	Dsec\GM16487
CG14598	Dsim\GD19938	Dsec\GM10963
CG14605	Dsim\GD19493	Dsec\GM10496
CG14606	Dsim\GD19494	Dsec\GM10497
CG14607	Dsim\GD19923	Dsec\GM10943
CG14609	Dsim\GD19920	Dsec\GM10941
CG1461	Dsim\GD17166	Dsec\GM17670
CG14610	Dsim\GD19501	Dsec\GM10505
CG14613	Dsim\GD15486	Dsec\GM11723
CG14615	Dsim\GD24428	Dsec\GM11726
CG14618	Dsim\GD17543	Dsec\GM11730
CG14621	Dsim\GD17541	Dsec\GM11727
CG14624	Dsim\GD16549	Dsec\GM19122
CG14625	Dsim\GD16547	Dsec\GM19120
CG14626	Dsim\GD24708	Dsec\GM19118
CG14628	Dsim\GD16538	Dsec\GM19114
CG14629	Dsim\GD16543	Dsec\GM19113
CG1463	Dsim\GD24529	Dsec\GM11541
CG14630	Dsim\GD16541	Dsec\GM19110
CG14631	Dsim\GD24706	Dsec\GM19107
CG14635	Dsim\GD16532	Dsec\GM19095
CG14636	Dsim\GD19700	Dsec\GM10726
CG14641	Dsim\GD19696	Dsec\GM10722
CG14642	Dsim\GD19695	Dsec\GM10721
CG14644	Dsim\GD19693	Dsec\GM10718
CG14645	Dsim\GD19718	Dsec\GM10746
CG14646	Dsim\GD19727	Dsec\GM10752
CG14647	Dsim\GD19728	Dsec\GM10753
CG14650	Dsim\GD19734	Dsec\GM10759
CG14651	Dsim\GD19736	Dsec\GM10760
CG14655	Dsim\GD19656	Dsec\GM10682
CG14657	Dsim\GD19651	Dsec\GM10676
CG14658	Dsim\GD19649	Dsec\GM10674
CG14659	Dsim\GD19648	Dsec\GM10673
CG14661	Dsim\GD19644	Dsec\GM10668
CG14662	Dsim\GD15122	Dsec\GM10666
CG14664	Dsim\GD19767	Dsec\GM10793
CG14667	Dsim\GD19784	Dsec\GM10804
CG14668	Dsim\GD19622	Dsec\GM10640
CG14669	Dsim\GD19786	Dsec\GM10808
CG14671	Dsim\GD19606	Dsec\GM10618
CG1468	Dsim\GD14578	Dsec\GM11392
CG14684	Dsim\GD18703	Dsec\GM23892
CG14687	Dsim\GD18710	Dsec\GM23898
CG14689	Dsim\GD20711	Dsec\GM26158
CG14691	Dsim\GD20708	Dsec\GM26155
CG14692	Dsim\GD20700	Dsec\GM26147
CG14693	Dsim\GD20699	Dsec\GM26146
CG14694	Dsim\GD20697	Dsec\GM26144
CG14695	Dsim\GD20693	Dsec\GM26139
CG14696	Dsim\GD20691	Dsec\GM26137
CG14701	Dsim\GD20671	Dsec\GM23929
CG14710	Dsim\GD18767	Dsec\GM23957
CG14711	Dsim\GD18768	Dsec\GM23958
CG14712	Dsim\GD18770	Dsec\GM23961
CG14715	Dsim\GD18774	Dsec\GM23968
CG14717	Dsim\GD18776	Dsec\GM23971
CG14718	Dsim\GD18777	Dsec\GM23972
CG14720	Dsim\GD18779	Dsec\GM23974
CG14721	Dsim\GD18782	Dsec\GM23976
CG14722	Dsim\GD18783	Dsec\GM23977
CG14731	Dsim\GD22799	Dsec\GM18193
CG14736	Dsim\GD20608	Dsec\GM23997
CG14739	Dsim\GD20607	Dsec\GM26045
CG14740	Dsim\GD20606	Dsec\GM26044
CG14743	Dsim\GD10146	Dsec\GM20667
CG14749	Dsim\GD10583	Dsec\GM21052
CG14752	Dsim\GD10576	Dsec\GM21046
CG14756	Dsim\GD10177	Dsec\GM20710
CG14757	Dsim\GD10178	Dsec\GM20711
CG14759	Dsim\GD10554	Dsec\GM21020
CG14760	Dsim\GD15369	Dsec\GM21018
CG14763	Dsim\GD10204	Dsec\GM20739
CG14764	Dsim\GD10208	Dsec\GM20742
CG14767	Dsim\GD10140	Dsec\GM20666
CG14770	Dsim\GD16552	Dsec\GM19130
CG14780	Dsim\GD24717	Dsec\GM19144
CG14787	Dsim\GD16421	Dsec\GM18975
CG14795	Dsim\GD24634	Dsec\GM18967
CG14797	Dsim\GD24722	Dsec\GM19160
CG14798	Dsim\GD24723	Dsec\GM19489
CG14803	Dsim\GD16573	Dsec\GM19173
CG14805	Dsim\GD16574	Dsec\GM19175
CG14806	Dsim\GD16575	Dsec\GM19176
CG14810	Dsim\GD16413	Dsec\GM18953
CG14812	Dsim\GD24627	Dsec\GM18952
CG14814	Dsim\GD24625	Dsec\GM18949
CG14817	Dsim\GD16410	Dsec\GM18946
CG14818	Dsim\GD16409	Dsec\GM18945
CG14823	Dsim\GD13989	Dsec\GM14814
CG14826	Dsim\GD13999	Dsec\GM14825
CG14829	Dsim\GD13083	Dsec\GM13786
CG14830	Dsim\GD13078	Dsec\GM13779
CG14834	Dsim\GD13068	Dsec\GM13770
CG14835	Dsim\GD13055	Dsec\GM13758
CG14837	Dsim\GD13047	Dsec\GM13746
CG14838	Dsim\GD14027	Dsec\GM14856
CG14839	Dsim\GD18951	Dsec\GM24155
CG14840	Dsim\GD20435	Dsec\GM25864
CG14841	Dsim\GD20434	Dsec\GM25863
CG14850	Dsim\GD15156	Dsec\GM24168
CG14853	Dsim\GD18967	Dsec\GM24173
CG14854	Dsim\GD15104	Dsec\GM25847
CG14855	Dsim\GD18975	Dsec\GM24183
CG14856	Dsim\GD18976	Dsec\GM24185
CG14857	Dsim\GD18977	Dsec\GM24186
CG1486	Dsim\GD24887	Dsec\GM23075
CG14860	Dsim\GD18984	Dsec\GM24192
CG14861	Dsim\GD18987	Dsec\GM24196
CG14864	Dsim\GD20367	Dsec\GM25791
CG14866	Dsim\GD19007	Dsec\GM24217
CG14868	Dsim\GD15100	Dsec\GM25774
CG14879	Dsim\GD20298	Dsec\GM15443
CG14880	Dsim\GD20294	Dsec\GM15438
CG14881	Dsim\GD19099	Dsec\GM15155
CG14882	Dsim\GD19100	Dsec\GM15156
CG14883	Dsim\GD19102	Dsec\GM15159
CG14891	Dsim\GD19110	Dsec\GM15167
CG14892	Dsim\GD19112	Dsec\GM15170
CG14893	Dsim\GD19115	Dsec\GM15174
CG14894	Dsim\GD20288	Dsec\GM15432
CG14903	Dsim\GD20280	Dsec\GM15422
CG14905	Dsim\GD20274	Dsec\GM15416
CG14907	Dsim\GD20272	Dsec\GM15413
CG14913	Dsim\GD23753	Dsec\GM18810
CG14915	Dsim\GD23758	Dsec\GM18840
CG1492	Dsim\GD15947	Dsec\GM13229
CG14921	Dsim\GD22192	Dsec\GM11145
CG14926	Dsim\GD22177	Dsec\GM11083
CG14929	Dsim\GD23781	Dsec\GM19106
CG14930	Dsim\GD22170	Dsec\GM11059
CG14931	Dsim\GD23788	Dsec\GM19192
CG14932	Dsim\GD23789	Dsec\GM19203
CG14937	Dsim\GD22158	Dsec\GM10979
CG1494	Dsim\GD17526	Dsec\GM23072
CG14945	Dsim\GD23811	Dsec\GM26709
CG14947	Dsim\GD23814	Dsec\GM26721
CG14949	Dsim\GD13381	Dsec\GM14113
CG14957	Dsim\GD13737	Dsec\GM14544
CG14958	Dsim\GD13738	Dsec\GM14547
CG14960	Dsim\GD13746	Dsec\GM14554
CG14963	Dsim\GD13352	Dsec\GM14077
CG14965	Dsim\GD13349	Dsec\GM14074
CG14966	Dsim\GD13347	Dsec\GM14073
CG14967	Dsim\GD13339	Dsec\GM14064
CG14968	Dsim\GD13335	Dsec\GM14060
CG14971	Dsim\GD13327	Dsec\GM14050
CG14974	Dsim\GD13324	Dsec\GM14047
CG14977	Dsim\GD17626	Dsec\GM14596
CG14982	Dsim\GD13791	Dsec\GM14601
CG14983	Dsim\GD13307	Dsec\GM14026
CG14984	Dsim\GD13306	Dsec\GM14025
CG14985	Dsim\GD13796	Dsec\GM14605
CG14989	Dsim\GD13810	Dsec\GM14622
CG14990	Dsim\GD13811	Dsec\GM17127
CG14995	Dsim\GD13294	Dsec\GM14015
CG14997	Dsim\GD13825	Dsec\GM14637
CG15005	Dsim\GD13282	Dsec\GM14002
CG15011	Dsim\GD13272	Dsec\GM13993
CG15012	Dsim\GD13267	Dsec\GM13986
CG15014	Dsim\GD13265	Dsec\GM13983
CG15019	Dsim\GD13260	Dsec\GM13977
CG15020	Dsim\GD13844	Dsec\GM14659
CG15024	Dsim\GD13258	Dsec\GM13973
CG15027	Dsim\GD15821	Dsec\GM12007
CG1503	Dsim\GD24436	Dsec\GM22639
CG15034	Dsim\GD16156	Dsec\GM17471
CG15036	Dsim\GD16154	Dsec\GM17468
CG15042	Dsim\GD24474	Dsec\GM22800
CG15043	Dsim\GD15631	Dsec\GM22808
CG15044	Dsim\GD15632	Dsec\GM22809
CG15047	Dsim\GD24855	Dsec\GM22904
CG15059	Dsim\GD24478	Dsec\GM22828
CG15065	Dsim\GD11368	Dsec\GM21872
CG15067	Dsim\GD25396	Dsec\GM19910
CG15073	Dsim\GD11405	Dsec\GM21911
CG15080	Dsim\GD11412	Dsec\GM21918
CG15082	Dsim\GD11413	Dsec\GM21920
CG15083	Dsim\GD11415	Dsec\GM21921
CG15084	Dsim\GD11416	Dsec\GM21922
CG15093	Dsim\GD25359	Dsec\GM19876
CG15096	Dsim\GD15218	Dsec\GM19872
CG15098	Dsim\GD25356	Dsec\GM19868
CG15099	Dsim\GD25353	Dsec\GM19866
CG15107	Dsim\GD25344	Dsec\GM19857
CG15109	Dsim\GD11427	Dsec\GM21932
CG15111	Dsim\GD11430	Dsec\GM21934
CG15115	Dsim\GD25341	Dsec\GM19854
CG15116	Dsim\GD25340	Dsec\GM19853
CG15117	Dsim\GD25338	Dsec\GM19850
CG15118	Dsim\GD25337	Dsec\GM19848
CG15120	Dsim\GD11462	Dsec\GM21969
CG15124	Dsim\GD11470	Dsec\GM21976
CG15125	Dsim\GD11473	Dsec\GM21977
CG15127	Dsim\GD25310	Dsec\GM19818
CG15128	Dsim\GD25309	Dsec\GM19817
CG1513	Dsim\GD10040	Dsec\GM20569
CG15136	Dsim\GD21883	Dsec\GM17142
CG15141	Dsim\GD24108	Dsec\GM17237
CG15142	Dsim\GD21862	Dsec\GM17121
CG15143	Dsim\GD21860	Dsec\GM17119
CG15145	Dsim\GD21858	Dsec\GM17115
CG15147	Dsim\GD21854	Dsec\GM17112
CG15152	Dsim\GD24130	Dsec\GM17265
CG15153	Dsim\GD21847	Dsec\GM17103
CG15155	Dsim\GD24133	Dsec\GM17268
CG15160	Dsim\GD24142	Dsec\GM17280
CG15161	Dsim\GD21825	Dsec\GM17080
CG15167	Dsim\GD24155	Dsec\GM17292
CG15168	Dsim\GD24167	Dsec\GM17305
CG15169	Dsim\GD24168	Dsec\GM17306
CG15170	Dsim\GD21792	Dsec\GM17044
CG15172	Dsim\GD21782	Dsec\GM17311
CG1518	Dsim\GD24643	Dsec\GM22642
CG15185	Dsim\GD19879	Dsec\GM10900
CG15186	Dsim\GD19878	Dsec\GM10899
CG15196	Dsim\GD24791	Dsec\GM13077
CG15198	Dsim\GD24789	Dsec\GM11466
CG15200	Dsim\GD17008	Dsec\GM11255
CG15202	Dsim\GD24786	Dsec\GM11460
CG15203	Dsim\GD16999	Dsec\GM11451
CG15208	Dsim\GD24785	Dsec\GM11441
CG15209	Dsim\GD16989	Dsec\GM11436
CG15210	Dsim\GD16988	Dsec\GM11434
CG15211	Dsim\GD16987	Dsec\GM11433
CG15212	Dsim\GD13875	Dsec\GM14692
CG15213	Dsim\GD13214	Dsec\GM13933
CG15219	Dsim\GD21620	Dsec\GM16117
CG15221	Dsim\GD17047	Dsec\GM13106
